week_number,channel_slot,year,cost,revenue
24,B,2022,4275.3600000000015,29445.450000000004
24,B,2023,2368.46,18814.800000000007
24,B,2024,4606.160000000001,54504.5
25,B,2022,4499.789999999999,27089.350000000002
25,B,2023,5901.540000000003,72954.15000000001
25,B,2024,7003.64000000001,86605.64
26,B,2022,5671.450000000002,60642.650000000016
26,B,2023,19106.29,151778.1
26,B,2024,12276.070000000007,103935.46000000002
27,B,2022,9561.789999999999,80790.49999999999
27,B,2023,10455.710000000006,75491
27,B,2024,12102.44000000002,147930.24
28,B,2022,11280.369999999997,85378.59999999998
28,B,2023,6270.36,63644.45
28,B,2024,11998.580000000013,115073.79000000001
29,B,2022,11964.35,50807.73
29,B,2023,7383.469999999998,71427
29,B,2024,11440.450000000017,130644.17
30,B,2022,10317.65,86867.87
30,B,2023,7036.019999999996,64081
30,B,2024,11381.330000000044,132581.13
31,B,2022,11028.559999999998,79596.09999999998
31,B,2023,5674.59,80823.33
31,B,2024,11922.860000000017,168499.47
32,B,2022,10205.790000000003,102242.04999999997
32,B,2023,7798.340000000002,92117.17000000001
32,B,2024,13124.110000000006,149452.90999999997
33,B,2022,9368.439999999995,84845.84999999998
33,B,2023,6746.789999999999,98558
33,B,2024,14259.600000000002,127660.02
34,B,2022,8777.850000000002,211627.35
34,B,2023,21202.30999999999,162277.32
34,B,2024,14534.310000000014,201166.21
35,B,2022,9152.919999999996,141098.64999999997
35,B,2023,3016.149999999999,32975.850000000006
35,B,2024,11110.89999999999,86458.51
36,B,2022,5032.340000000002,34276.05
36,B,2023,2468.77,21326.65
36,B,2024,4847.919999999997,35389.07
37,B,2022,2671.42,50473.29999999999
37,B,2023,2696.8799999999974,14532.67
37,B,2024,1978.7499999999986,20845.440000000002
38,B,2022,1892.5699999999997,10991.25
38,B,2023,7488.259999999998,31278.199999999997
38,B,2024,4351.600000000001,55791.24
39,B,2022,6419.160000000004,44695.94999999999
39,B,2023,13600.099999999995,177629.35000000003
39,B,2024,16645.810000000023,150665.30000000002
40,B,2022,10251.540000000006,143960.15000000002
40,B,2023,13133.179999999997,129121.1
40,B,2024,18716.829999999994,184019.22
41,B,2022,15438.120000000003,139217.2499999999
41,B,2023,17635.42,136493.80000000002
41,B,2024,10097.22,133456.87999999998
42,B,2022,17099.949999999997,97653.34999999999
42,B,2023,12010.869999999997,107150.12
42,B,2024,9585.890000000009,121807.87
43,B,2022,11050.259999999998,83206.94999999997
43,B,2023,7996.069999999999,80946
43,B,2024,9984.670000000002,109408.64
44,B,2022,9822.999999999998,84783.95
44,B,2023,6058.3100000000095,81283
44,B,2024,8915.48000000002,114199.36
45,B,2022,10420.970000000007,70527.34999999996
45,B,2023,6426.880000000007,65897.98000000001
45,B,2024,9659.470000000018,81478.79000000001
46,B,2022,9796.830000000002,70036.94999999998
46,B,2023,8278.599999999997,72591.79999999999
46,B,2024,12967.290000000035,128600.78
47,B,2022,10005.619999999995,91864.99999999997
47,B,2023,9188.219999999996,137770.5
47,B,2024,23134.650000000005,296846.63
48,B,2022,11024.619999999999,110144.69999999998
48,B,2023,2319.2699999999986,33383.880000000005
48,B,2024,3147.2599999999984,37312.399999999994
49,B,2022,8597.070000000002,32560.10000000001
49,B,2023,3286.37,34344.950000000004
49,B,2024,3121.360000000001,28749.95
50,B,2022,7214.929999999996,30106.95
50,B,2023,3826.110000000001,24296.5
50,B,2024,5226.2,60364.400000000016
51,B,2022,5666.530000000001,35179.450000000004
51,B,2023,5842.940000000005,74317.11000000002
51,B,2024,11092.950000000013,185213.79
1,C,2022,40527.49616000001,258474.30999999988
1,C,2023,38343.640000000014,252732.04999999993
1,C,2024,31056.560000000005,256761.05
1,C,2025,34297.67000000001,448136.42000000004
2,C,2022,32919.755248,274269.4099999999
2,C,2023,39138.14,295660.8900000001
2,C,2024,23673.870000000003,189442.5
2,C,2025,37267.959999999985,368569.08999999997
3,C,2022,47643.878867999956,255043.6100000001
3,C,2023,39449.04000000001,237175.05999999994
3,C,2024,27311.480000000003,179398.21
3,C,2025,26293.320000000007,295473
4,C,2022,63737.84496499998,374010.6700000001
4,C,2023,28033.179999999993,190720.19999999995
4,C,2024,23983.120000000006,187679.01000000004
4,C,2025,30400,355000
5,C,2022,38265.64518300001,241360.59999999992
5,C,2023,29635.64,249356.26
5,C,2024,29367.140000000018,317799.1800000001
5,C,2025,34917,364536
6,C,2022,30158.849555999986,214121.84999999998
6,C,2023,27545.059999999983,199828.17999999996
6,C,2024,35685.040000000015,282854.23
6,C,2025,30842,352540
7,C,2022,24796.71669400001,179055.88999999993
7,C,2023,26196.279999999995,214630.6499999999
7,C,2024,30468.229999999996,270385.66
7,C,2025,34000,406000
8,C,2022,26049.102466000008,202247.84999999992
8,C,2023,27553.870000000006,167367.71999999997
8,C,2024,27081.97,282062.75000000006
8,C,2025,29000,431000
9,C,2022,19801.355886999994,120390.10999999996
9,C,2023,24161.460000000006,170763.56999999998
9,C,2024,18304.850000000006,253466.88000000006
9,C,2025,20383,313000
10,C,2022,17757.402373999983,84490.99999999999
10,C,2023,22520.63,110736.57999999999
10,C,2024,11841.720000000005,113772.89
10,C,2025,35000,339000
11,C,2022,18285.164252000006,85364.34999999998
11,C,2023,18893.320000000014,122717.77999999997
11,C,2024,18165.17000000001,167718.90000000002
12,C,2022,17481.004024999995,124116.13999999996
12,C,2023,20229.580000000016,180072.76
12,C,2024,26980.000000000007,248631.83000000002
13,C,2022,21589.571200999995,130230.93999999994
13,C,2023,26464.67,202601.7699999999
13,C,2024,27584.780000000006,222284.6400000001
14,C,2022,24281.345899000007,138795.80999999997
14,C,2023,26980.28,176856.03999999998
14,C,2024,28294.09000000001,231046.02
15,C,2022,25015.742842,129873.60999999996
15,C,2023,24242.120000000003,157918.88999999996
15,C,2024,25580.110000000008,212217.69999999995
16,C,2022,24778.73562300001,97477.47
16,C,2023,20855.98,127344.48999999996
16,C,2024,21745.74000000001,178795.11000000004
17,C,2022,20554.35782399999,90358.55999999997
17,C,2023,14146.420000000004,136741.49
17,C,2024,27271.05000000001,226234.64999999997
18,C,2022,16848.556075,73082.79999999997
18,C,2023,23591.339999999997,186869.18999999994
18,C,2024,20381.290000000005,164712.06
19,C,2022,16127.656764000008,64822.53999999999
19,C,2023,19810.02999999999,146364.05999999997
19,C,2024,20116.770000000008,186131.02
20,C,2022,18587.923331000013,107904.20999999996
20,C,2023,21300.829999999994,230071.32999999993
20,C,2024,30250.310000000034,364043.4200000001
21,C,2022,24278.18611100001,169464.89999999997
21,C,2023,20492.66999999999,180045.51999999996
21,C,2024,25103.890000000007,290725.28
22,C,2022,21174.809319000007,145324.94999999998
22,C,2023,15891.310000000001,156327.06999999998
22,C,2024,14673.910000000005,197656.89
23,C,2022,16705.36647900001,100970.09999999998
23,C,2023,13870.139999999985,68679.31
23,C,2024,12319.809999999996,109029.44
24,C,2022,14697.095476999999,87412.24999999999
24,C,2023,24746.550000000003,115198.21999999997
24,C,2024,18500.939999999988,188685.27
25,C,2022,17557.921034,135213.29999999996
25,C,2023,33003.479999999996,213995.81999999995
25,C,2024,32153.600000000006,273406.67
26,C,2022,23959.677775999997,168304.59999999998
26,C,2023,31291.020000000004,251860.76
26,C,2024,36643.490000000005,273370.04000000004
27,C,2022,24739.73330099998,180516.8999999999
27,C,2023,21940.54,158945.40999999997
27,C,2024,36855.41000000003,340375.43000000005
28,C,2022,25234.813417999998,172639.39999999994
28,C,2023,25232.059999999998,169128.49
28,C,2024,35158.450000000026,291659.07000000007
29,C,2022,23717.21,149937.27
29,C,2023,23945.61,206817.39999999997
29,C,2024,31964.510000000024,329351.30999999994
30,C,2022,28640.34999999999,252498.91999999993
30,C,2023,28481.080000000005,202671.26999999993
30,C,2024,34430.95000000002,333238.35000000003
31,C,2022,33810.65,206620.7199999999
31,C,2023,26247.930000000008,186905.83
31,C,2024,38468.94000000003,363078.68
32,C,2022,31649.76999999999,214373.25999999995
32,C,2023,18150.82,178514.23000000004
32,C,2024,38720.54,315048.57000000007
33,C,2022,29549.99999999998,210322.70999999996
33,C,2023,33259.64000000002,269020.48
33,C,2024,47364.93999999999,406446.70999999985
34,C,2022,30622.480000000007,411634.55000000016
34,C,2023,30986.84,215471.94
34,C,2024,39046.53000000002,340881.06999999995
35,C,2022,26727.210000000006,198297.93999999997
35,C,2023,10146.570000000003,80777.74000000002
35,C,2024,21003.629999999997,150131.86
36,C,2022,14779.780000000008,74535.5
36,C,2023,17298.130000000005,69061.79999999999
36,C,2024,10718.71,90440.48999999999
37,C,2022,10003.740000000002,65735.93999999999
37,C,2023,21597.460000000006,91564.08000000003
37,C,2024,11615.11,82123.58
38,C,2022,11053.850000000004,109968.20999999999
38,C,2023,41911.68999999999,265945.81
38,C,2024,20927.510000000028,236272.60999999996
39,C,2022,44189.83,338048.5500000001
39,C,2023,40646.93999999999,367891.80000000005
39,C,2024,37306.60000000002,413381.57999999996
40,C,2022,39806.25,307814.07999999996
40,C,2023,41296.929999999986,283729.22
40,C,2024,34994.67999999998,376263.6100000001
41,C,2022,40880.64000000001,262892.4099999999
41,C,2023,47047.02999999999,284356.62
41,C,2024,29181.719999999994,301377.11999999994
42,C,2022,35759.05999999999,204222.81999999995
42,C,2023,30052.12999999999,234263.82
42,C,2024,29220.990000000005,373623.2399999999
43,C,2022,31560.530000000002,206416.51999999996
43,C,2023,21600.510000000013,186246.14999999997
43,C,2024,25450.69,273359.77
44,C,2022,30117.32,208091.53999999998
44,C,2023,22586.890000000007,198141.19000000006
44,C,2024,24653.23000000001,301529.11000000004
45,C,2022,30649.610000000015,179198.88999999996
45,C,2023,26905.220000000023,199184.08000000002
45,C,2024,29491.590000000026,295261.5900000001
46,C,2022,32314.34000000001,213604.18999999997
46,C,2023,41138.25000000001,268985.93000000005
46,C,2024,36000.01000000003,409718.2500000001
47,C,2022,30583.14,252412.16000000003
47,C,2023,18026.629999999997,190265.83
47,C,2024,28318.130000000012,358011.33
48,C,2022,24645.990000000005,157335.39999999997
48,C,2023,8908.779999999999,62453.55
48,C,2024,8486.080000000005,100548.08
49,C,2022,18874.719999999994,83464.84999999999
49,C,2023,11982.690000000002,69025.58000000002
49,C,2024,11405.589999999998,126634.51999999999
50,C,2022,18280.500000000007,94918.00999999997
50,C,2023,15012.110000000011,130009.68000000007
50,C,2024,16381.11,209991.73
51,C,2022,24248.73999999999,131327.52
51,C,2023,29794.900000000023,231902.59
51,C,2024,25804.4,345960.63
