financial_year,week_number,channel_slot,cost,updated_at,updated_by
2025,3,B,10036.15000000001,2026-08-19,bootstrap
2022,4,B,14490.530000000002,2026-08-19,bootstrap
2023,4,B,11734.260000000004,2026-08-19,bootstrap
2024,4,B,2532.519999999999,2026-08-19,bootstrap
2025,4,B,12200,2026-08-19,bootstrap
2022,5,B,14670.140000000016,2026-08-19,bootstrap
2023,5,B,11234.109999999999,2026-08-19,bootstrap
2024,5,B,10915.889999999996,2026-08-19,bootstrap
2025,5,B,13429,2026-08-19,bootstrap
2022,6,B,10770.61999999999,2026-08-19,bootstrap
2023,6,B,9522.009999999998,2026-08-19,bootstrap
2024,6,B,8766.360000000002,2026-08-19,bootstrap
2025,6,B,11978,2026-08-19,bootstrap
2022,7,B,9864.690000000002,2026-08-19,bootstrap
2023,7,B,7916.749999999996,2026-08-19,bootstrap
2024,7,B,9822.910000000002,2026-08-19,bootstrap
2022,8,B,8989.48000000001,2026-08-19,bootstrap
2023,8,B,10628.590000000004,2026-08-19,bootstrap
2024,8,B,13888.790000000005,2026-08-19,bootstrap
2022,9,B,7961.219999999995,2026-08-19,bootstrap
2023,9,B,7997,2026-08-19,bootstrap
2024,9,B,9210.949999999999,2026-08-19,bootstrap
2022,10,B,8894.96999999999,2026-08-19,bootstrap
2023,10,B,7552.279999999998,2026-08-19,bootstrap
2024,10,B,2809.4,2026-08-19,bootstrap
2022,11,B,5606.80999999999,2026-08-19,bootstrap
2023,11,B,6163.580000000004,2026-08-19,bootstrap
2024,11,B,3826.340000000001,2026-08-19,bootstrap
2022,12,B,4241.1,2026-08-19,bootstrap
2023,12,B,5072.860000000001,2026-08-19,bootstrap
2024,12,B,4850.699999999998,2026-08-19,bootstrap
2022,13,B,5038.100000000007,2026-08-19,bootstrap
2023,13,B,10250.530000000002,2026-08-19,bootstrap
2024,13,B,7869.579999999996,2026-08-19,bootstrap
2022,14,B,7615.979999999995,2026-08-19,bootstrap
2023,14,B,14310.989999999996,2026-08-19,bootstrap
2024,14,B,8398.31,2026-08-19,bootstrap
2022,15,B,10405.139999999996,2026-08-19,bootstrap
2023,15,B,12340.780000000006,2026-08-19,bootstrap
2024,15,B,8213.950000000003,2026-08-19,bootstrap
2022,16,B,8054.750000000007,2026-08-19,bootstrap
2023,16,B,9946.12999999999,2026-08-19,bootstrap
2024,16,B,7074.829999999999,2026-08-19,bootstrap
2022,17,B,6989.929999999997,2026-08-19,bootstrap
2023,17,B,2042.580000000001,2026-08-19,bootstrap
2024,17,B,11985.400000000007,2026-08-19,bootstrap
2022,18,B,5311.870000000001,2026-08-19,bootstrap
2023,18,B,5330.800000000002,2026-08-19,bootstrap
2024,18,B,7140.479999999999,2026-08-19,bootstrap
2022,19,B,5684.330000000007,2026-08-19,bootstrap
2023,19,B,5530.4000000000015,2026-08-19,bootstrap
2024,19,B,7404.220000000004,2026-08-19,bootstrap
2022,20,B,5589.430000000004,2026-08-19,bootstrap
2023,20,B,6254.529999999999,2026-08-19,bootstrap
2024,20,B,7395.920000000014,2026-08-19,bootstrap
2022,21,B,4680.860000000006,2026-08-19,bootstrap
2023,21,B,7121.460000000001,2026-08-19,bootstrap
2024,21,B,12105.230000000007,2026-08-19,bootstrap
2022,22,B,7419.670000000008,2026-08-19,bootstrap
2023,22,B,5809.370000000001,2026-08-19,bootstrap
2024,22,B,5206.560000000005,2026-08-19,bootstrap
2022,23,B,5228.070000000008,2026-08-19,bootstrap
2023,23,B,2974.88,2026-08-19,bootstrap
2024,23,B,3864.989999999998,2026-08-19,bootstrap
2022,24,B,4275.3600000000015,2026-08-19,bootstrap
2023,24,B,2368.46,2026-08-19,bootstrap
2024,24,B,4606.160000000001,2026-08-19,bootstrap
2022,25,B,4499.789999999999,2026-08-19,bootstrap
2023,25,B,5901.540000000003,2026-08-19,bootstrap
2024,25,B,7003.64000000001,2026-08-19,bootstrap
2022,26,B,5671.450000000002,2026-08-19,bootstrap
